Date,AORDS,BHP,CBA
2/02/2015,3.940014862,7.535200162,4.004728504
9/02/2015,1.04736111,1.946064069,0.182657744
16/02/2015,0.172930639,0.403296823,-3.207099019
23/02/2015,0.900882304,4.094599636,4.018930985
2/03/2015,-0.508196006,-3.047446008,-0.907037293
9/03/2015,-1.382931247,-9.237346084,0.252141185
16/03/2015,2.529920205,5.759975484,5.330627011
23/03/2015,-0.801680446,0.26049741,-2.077056226
30/03/2015,-0.326564794,-1.738618147,0.063565649
6/04/2015,1.113084765,-0.265067237,-0.286407633
13/04/2015,-1.423636745,-0.565635598,-2.201920993
20/04/2015,0.940615797,6.710041202,0.021721044
27/04/2015,-1.845323064,1.394280737,-3.513787098
4/05/2015,-2.858285347,-3.762208348,-7.324324348
11/05/2015,1.664741823,3.731445081,2.521177646
18/05/2015,-1.08438893,-3.724651942,-1.954061703
25/05/2015,1.864928185,1.155688325,2.354445942
1/06/2015,-4.759171065,-5.88097514,-5.806425444
8/06/2015,0.82470396,0,1.397548429
15/06/2015,0.707133527,1.811439499,3.677577041
22/06/2015,-0.995728805,-3.255517588,2.548040838
29/06/2015,-0.146421297,-3.365083484,0.011529103
6/07/2015,-0.906774306,0.225405621,-1.008977502
13/07/2015,3.133958177,1.67446563,2.520709196
20/07/2015,-1.707555725,-6.991589839,-2.497391012
27/07/2015,2.222815013,4.563817331,2.018877898
3/08/2015,-3.75515503,-1.985557194,-7.417819321
10/08/2015,-2.073499266,-2.380583752,1.003536573
17/08/2015,-2.55474928,-4.938291645,-7.745433621
24/08/2015,0.950536039,5.607463963,3.783146001
31/08/2015,-4.139730764,-3.188818123,-5.671159112
7/09/2015,0.699021294,-4.050154043,4.04727034
14/09/2015,1.904708501,6.73281154,0.927400695
21/09/2015,-2.290035037,-6.459290245,-5.963613499
28/09/2015,0.245920299,-1.449631442,2.692984143
5/10/2015,4.23205159,12.46423924,2.874223597
12/10/2015,-0.103647453,-2.371641083,1.34141088
19/10/2015,1.578810936,-1.653604559,1.039640957
26/10/2015,-1.863925724,-6.597647604,-0.804769021
2/11/2015,-0.358010715,-1.399849248,-0.182624544
9/11/2015,-3.042191741,-11.51981862,-1.089626888
16/11/2015,3.71924638,1.325801801,5.232926477
23/11/2015,-1.024932927,-8.816469818,0.362610792
30/11/2015,-0.954764353,-4.578453453,0.124706213
7/12/2015,-2.391139318,-4.15660248,-1.595797067
14/12/2015,1.522240242,-1.937265431,3.264706094
21/12/2015,1.913127075,8.354759671,2.122682508
28/12/2015,1.66973982,-2.652073261,2.617856276
4/01/2016,-5.681731878,-8.83359064,-7.411711942
11/01/2016,-2.018490458,-8.152188821,-0.68226187
18/01/2016,0.425487334,1.252913275,-2.985278317
25/01/2016,1.735496638,0.588046734,2.718703716
1/02/2016,-0.614947077,5.389598423,-2.666463145
8/02/2016,-4.247656399,-7.097916323,-4.362719781
